ChildID,TeachID.Year1,Age.at.test,Annual.Gross.Income,gender,cond.dum,zero.app.users.year1,matchschool,twin,year1dropout,wjappliedfa13_filter,WJletterwordFa13_filter,WJ.applied.Sp14.filter,WJ.letterword.Sp14.filter,Returned.Parent.Survey.cohort1.Fa13,WJ.Applied.Problems.W.Score.Fa13,WJ.Applied.Problems.GE.Fa13,WJ.Letter.Word.ID.W.Score.Fa13,WJ.Letter.Word.ID.GE.Fa13,WJ.Applied.Problems_W.Score_Sp14,WJ.Applied.Problem_GE_Sp14,WJ.LetterWord.Wscore.Sp14,WJ.LetterWord_GE_Sp14,Relationship.to.Child.Parent.Survey.Fa13,Gender.of.Person.Filling.Out.Survey.Fa13,ParentMAaverage.Fa13,parent.total.math.class.Fa13,avg.use,use.012.groups,in.depth.year1,WScore.Parent.Math.Fluency.Year1,parentMA_mediansplit,parentMathClass_mediansplit
134,5.00,72.00,4.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,476.0,2.8,489.0,3.8,502.0,4.5,512.0,5.5,Mother,F,1.8,5.0,3.58,2.0,0.0,,1.00,1.00
135,5.00,74.00,4.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,481.0,3.0,467.0,2.9,476.0,2.8,475.0,3.1,Mother,F,1.8,5.0,2.88,2.0,1.0,527.0,1.00,1.00
136,5.00,80.00,4.00,1,1.00,0,0,0,1,1.0,1.0,0.0,0.0,0.0,476.0,2.8,473.0,3.1,,,,,,,,,,,0.0,,,
137,5.00,76.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,498.0,4.1,497.0,4.3,512.0,5.6,507.0,5.0,Father,M,1.8,6.0,3.42,2.0,0.0,,1.00,2.00
138,5.00,72.00,6.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,485.0,3.3,497.0,4.3,490.0,3.6,498.0,4.3,Father,M,2.6,7.0,1.04,1.0,0.0,,2.00,2.00
139,5.00,72.00,5.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,481.0,3.0,483.0,3.5,481.0,3.0,496.0,4.2,Mother,F,1.0,,0.62,1.0,0.0,,1.00,
140,5.00,73.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,0.0,444.0,1.3,400.0,1.2,458.0,1.9,475.0,3.1,,,,,0.12,0.0,0.0,,,
141,5.00,82.00,2.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,489.0,3.8,490.0,3.6,498.0,4.3,Mother,F,2.3,5.0,0.81,1.0,0.0,,2.00,1.00
142,5.00,,5.00,0,1.00,0,0,0,0,1.0,0.0,1.0,1.0,1.0,467.0,2.3,,,471.0,2.6,490.0,3.8,Mother,F,2.1,7.0,1.73,2.0,0.0,,2.00,2.00
143,5.00,76.00,4.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,458.0,1.9,427.0,1.8,485.0,3.3,484.0,3.5,Mother,F,1.6,5.0,0.77,1.0,1.0,522.0,1.00,1.00
144,5.00,73.00,3.00,0,1.00,0,0,1,0,1.0,1.0,1.0,1.0,1.0,444.0,1.3,427.0,1.8,450.0,1.6,439.0,2.1,Mother,F,2.0,4.0,1.12,1.0,0.0,,1.00,1.00
145,5.00,73.00,3.00,0,1.00,0,0,1,0,1.0,1.0,1.0,1.0,1.0,449.0,1.5,446.0,2.3,458.0,1.9,460.0,2.7,Mother,F,2.0,4.0,1.15,1.0,0.0,,1.00,1.00
146,5.00,81.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,453.0,2.4,490.0,3.6,484.0,3.5,Mother,F,2.1,4.0,0.85,1.0,0.0,,2.00,1.00
147,5.00,79.00,6.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,0.0,467.0,2.3,464.0,2.8,490.0,3.6,484.0,3.5,,,,,0.46,0.0,0.0,,,
148,5.00,72.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,476.0,2.8,491.0,3.9,502.0,4.5,512.0,5.5,Mother,F,1.3,5.0,0.77,1.0,0.0,,1.00,1.00
149,5.00,80.00,1.00,1,1.00,0,0,0,1,1.0,1.0,0.0,0.0,0.0,453.0,1.7,470.0,3.0,,,,,,,,,,,0.0,,,
150,5.00,80.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,476.0,2.8,500.0,4.5,509.0,5.2,501.0,4.5,Mother,F,1.6,5.0,1.81,2.0,0.0,,1.00,1.00
151,5.00,76.00,,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,462.0,2.1,464.0,2.8,485.0,3.3,478.0,3.3,Mother,F,1.6,,0.77,1.0,0.0,,1.00,
121,3.00,,1.00,1,1.00,0,0,0,0,1.0,1.0,0.0,1.0,0.0,453.0,1.7,449.0,2.3,476.0,2.8,493.0,4.0,,,,,0.54,1.0,0.0,,,
